ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_5,2019,418.04,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_6,2019,282.1,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_7,2019,406.53,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_8,2019,299.64,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_9,2019,273.48,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_ISCO08_0,2019,956.72,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_TOTAL,2019,500.31,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_1,2019,1062.22,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_2,2019,1101.01,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_3,2019,739.63,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_4,2019,495.13,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_5,2019,305.21,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_6,2019,172.51,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_7,2019,206.79,B,,T30:2_I11:264,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_ISCO08_8,2019,181.88,U,,T30:2_I11:264,R1:3513
